binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus odorata,NA,NA,tree,NA,NA,NA,NA,NA,15000,NA,NA,NA,NA,15000,NA,NA,NA,NA,"Tree or mallee to 15 m. Bark rough, fibrous, grey on most of trunk, then smooth and grey-brown above. Juvenile leaves elliptic to ovate, green, slightly discolorous. Adult leaves narrowly lanceolate or lanceolate, acute or acuminate, green; lateral veins faint, at 20°–30°; intramarginal vein up to 1 mm from margin. Conflorescence axillary, simple; umbels 7-11-flowered; peduncle quadrangular. Buds fusiform to clavate. Fruits cylindrical to ovoid; disc broad, descending; valves 4 or 5, included","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus odorata,NA,odorata,tree,NA,9,60,4,4,15000,18,100,6,7,15000,13.5,80,5,5.5,"Adult leaves lanceolate; lamina 6-10 cm long, 0.9-1.8 cm wide; petiole terete, 7-15 mm long. Peduncle 5-9 mm long; pedicels 2-3 mm long. Operculum conical, 2-3 mm long, 3-4 mm wide; hypanthium obovoid, 3-4 mm long and wide. Fruits 4-7 mm long, 4-6 mm wide. Peppermint. Box. Fig. 103M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus odorata,NA,angustifolia,mallee,NA,5,65,5,4,8000,10,95,6,7,8000,7.5,80,5.5,5.5,"Usually a mallee to 8 m. Adult leaves narrowly lanceolate; lamina 6.5-9.5 cm long, 0.5-1 cm wide; petiole terete or slightly flattened, 7-12 mm long. Peduncle 7-12 mm long; pedicels 2-5 mm long. Operculum conical, 3-4 mm long and wide; hypanthium obconical to obovoid, 4-5 mm long, 3-4 mm wide. Fruits 4-7 mm long, 5-6 mm wide. Seaside. Mallee. Fig. 103 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus polybractea,NA,NA,mallee,NA,4,60,NA,3,10000,11,110,NA,5,10000,7.5,85,NA,4,"Mallee to 10 m. Bark rough, fibrous on lower stems, then smooth and grey to pink-grey above. Juvenile leaves linear to lanceolate, slightly glaucous, concolorous. Adult leaves narrowly lanceolate, acuminate; lamina 6-11 cm long, 0.4-1.1 cm wide, blue-green to grey-green; lateral veins faint, at 20°–30°; intramarginal vein up to 1 mm from margin; petiole terete, 6-12 mm long. Conflorescence axillary, simple; umbels 7-11-flowered; peduncle terete or quadrangular, 4-10 mm long; pedicels 1-4 mm long. Buds clavate or fusiform; operculum hemispherical to conical, 2-3 mm long, 3-4 mm wide; hypanthium obovoid or obconical, 3-4 mm long and wide. Fruits ovoid to hemispherical, 3-5 mm long and wide; disc broad, descending; valves 3-5, included. Blue-leaved. Mallee. Fig. 104A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus froggattii,NA,NA,mallee,NA,12,75,5,6,6000,20,120,8,8,6000,16,97.5,6.5,7,"Mallee to 6 m or tree to 9 m. Bark rough, fibrous, grey to grey-brown on stems or trunk, then smooth and green-brown above. Juvenile leaves elliptic to lanceolate, green, slightly discolorous. Adult leaves lanceolate, acute; lamina 7.5-12 cm long, 1.2-2 cm wide, shining, green; lateral veins faint, at 15°–25°; intramarginal vein prominent, up to 3 mm from margin; petiole slightly flattened, 7-12 mm long. Conflorescence usually terminal panicles, sometimes axillary, simple; umbels 7-11-flowered; peduncle flattened, 7-15 mm long; pedicels 4-6 mm long. Buds quadrangular, clavate to ovoid; operculum pyramidal, 4-5 mm long, 4-6 mm wide; hypanthium ovoid to obpyramidal, 5-7 mm long, 4-5 mm wide. Fruits ovoid to cylindrical, quadrangular, 6-8 mm long, 5-8 mm wide; disc broad, descending; valves 4 or 5, included. Kamarooka. Mallee. Fig. 104C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus viridis,NA,NA,mallee,NA,4,60,3,2,10000,8,100,4,4,10000,6,80,3.5,3,"Mallee to 10 m. Bark rough, fibrous, dark grey on lower stems, then smooth and grey to pink-grey above. Juvenile leaves linear, the petioles difficult to distinguish from leaf base, green, concolorous. Adult leaves linear to narrowly lanceolate, uncinate; lamina 6-10 cm long, 0.4-0.8 cm wide, slightly shining, dark green; lateral veins faint, at 15°–25°; intramarginal vein up to 1 mm from margin; petiole terete or slightly flattened, 5-10 mm long. Conflorescence usually axillary, simple, rarely terminal, paniculate; umbels 7-flowered; peduncle quadrangular, 5-8 mm long; pedicels 2-4 mm long. Buds fusiform; operculum conical, 2-3 mm long and wide; hypanthium obconical, 2-3 mm long and wide. Fruits hemispherical to subglobular, 2-4 mm long, 3-4 mm wide; disc narrow, descending; valves 4, included. Green. Mallee. Fig. 104E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus decorticans,NA,NA,tree,NA,10,85,NA,4,40000,15,120,NA,7,40000,12.5,102.5,NA,5.5,"Tree to 40 m. Bark rough on trunk and larger branches, grey to black, then smooth and white above. Juvenile leaves lanceolate, green, discolorous. Adult leaves narrowly lanceolate, acuminate; lamina 8.5-12 cm long, 1-1.5 cm wide, green to grey-green; lateral veins very faint, at 40°–50°; intramarginal vein confluent with or up to 1 mm from margin; petiole 12-20 mm long. Conflorescence axillary and terminal panicles, also axillary umbels; umbels 7-flowered; peduncle angular to slightly flattened, 5-18 mm long; pedicels 2-6 mm long. Buds clavate or fusiform; operculum conical, 3-4 mm long, 3-5 mm wide; hypanthium obconical, 3-4 mm long, 3-5 mm wide. Fruits ovoid to subcylindrical or almost hemispherical, occasionally faintly ribbed, 4-7 mm long and wide; disc narrow, convex, level or descending; valves 3 or 4, just included to just exserted. Gum-top. Ironbark. Fig. 104G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus fibrosa,NA,NA,tree,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,35000,NA,NA,NA,NA,"Tree to 35 m. Bark rough throughout, grey-black to black. Juvenile leaves orbicular to ovate. Adult leaves narrowly to broadly lanceolate, acuminate; lateral veins just visible, at 35°–45°; intramarginal vein up to 1 mm from margin. Conflorescence terminal, paniculate, with some axillary umbels; umbels 7-11-flowered. Buds fusiform; operculum conical; hypanthium obconical. Fruits obconical, pyriform or hemispherical; disc narrow, level to ascending; valves 4 or 5, ±level or exserted. Differs from E. decorticans, E. siderophloia and E. drepanophylla in the larger buds","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus fibrosa,fibrosa,NA,tree,NA,30,140,5,6,35000,50,180,9,10,35000,40,160,7,8,"Juvenile leaves green, slightly discolorous. Adult leaves lanceolate to broadly lanceolate; lamina 14-18 cm long, 3-5 cm wide, green; petiole 15-27 mm long. Peduncle terete to flattened, 6-20 mm long; pedicels 2-7 mm long, the angles continuing as ribs on hypanthium. Operculum 6-10 mm long, 4-5 mm wide; hypanthium 4-6 mm long, 4-5 mm wide. Fruits obconical to pyriform, 6-10 mm long, 5-9 mm wide. Broad-leaved. Ironbark. Fig. 104 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus fibrosa,nubila,NA,tree,NA,15,110,5,5,35000,25,180,7,8,35000,20,145,6,6.5,"Juvenile leaves glaucous, concolorous. Adult leaves lanceolate; lamina 11-18 cm long, 1.5-2.5 cm wide, glaucous; petiole 18-30 mm long. Peduncle terete to flattened, 8-18 mm long; pedicels 1-5 mm long. Operculum 6-12 mm long, 4-5 mm wide; hypanthium 3-7 mm long, 4-5 mm wide. Fruits obconical to almost hemispherical, sometimes ribbed, glaucous, 5-8 mm long, 5-7 mm wide. Blue-leaved. Ironbark. Fig. 104K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus siderophloia,NA,NA,tree,NA,10,80,5,6,45000,20,150,7,8,45000,15,115,6,7,"Tree to 45 m. Bark rough on trunk and at least larger branches, sometimes smooth above, grey to grey-black. Juvenile leaves ovate to broadly lanceolate, green, discolorous. Adult leaves lanceolate to broadly lanceolate, acuminate; lamina 8-15 cm long, 1-2 cm wide, dull, green or grey-green; lateral veins just visible, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole 10-17 mm long. Conflorescence terminal, paniculate; umbels 7-flowered; peduncle quadrangular, 6-12 mm long; pedicels 2-4 mm long. Buds fusiform; operculum conical, sometimes rostrate, 3-4 mm long and wide; hypanthium obconical, 2-4 mm long, 3-4 mm wide. Fruits obconical, 6-8 mm long, 5-7 mm wide; disc narrow, descending; valves usually 4, exserted. Northern. Grey Ironbark. Fig. 104M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus drepanophylla,NA,NA,tree,NA,14,100,5,4,30000,25,150,6,6,30000,19.5,125,5.5,5,"Tree to 30 m. Bark rough on trunk and larger branches or throughout, dark grey to black. Juvenile leaves elliptic to ovate, light green, concolorous. Adult leaves lanceolate to narrowly lanceolate, acuminate; lamina 10-15 cm long, 1.4-2.5 cm wide, green or grey-green; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole 10-20 mm long. Conflorescence terminal and axillary, paniculate; umbels 7-flowered; peduncle terete, rarely quadrangular, 4-7 mm long; pedicels 3-6 mm long. Buds obovoid or obconical; operculum hemispherical–conical, approx 3 mm long, approx 4 mm wide; hypanthium obconical, 3-4 mm long, c. 4 mm wide. Fruits hemispherical to subcylindrical, 4-6 mm long, 5-6 mm wide; disc narrow, descending; valves usually 4, level to exserted. Queensland. Grey Ironbark. Fig. 105A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus crebra,NA,NA,tree,NA,10,65,4,4,30000,17,150,6,7,30000,13.5,107.5,5,5.5,"Tree to 30 m. Bark rough throughout, dark grey to black. Juvenile leaves linear to narrowly lanceolate, green or grey-green, slightly discolorous. Adult leaves narrowly lanceolate to lanceolate, acuminate; lamina 6.5-15 cm long, 1-1.7 cm wide, dull, green or grey-green; lateral veins faint, at 30°–45°; intramarginal vein up to 1 mm from margin; petiole 10-15 mm long. Conflorescence terminal, paniculate; umbels 7-11-flowered; peduncle terete to quadrangular, 4-12 mm long; pedicels 1-6 mm long, with angles sometimes continuous as ribs on hypanthium. Buds clavate or fusiform; operculum conical to hemispherical, 2-3 mm long, approx 3 mm wide; hypanthium hemispherical to obovoid, 2-3 mm long, approx 3 mm wide. Fruits hemispherical or ovoid, 4-7 mm long, 4-6 mm wide; disc narrow, level or descending; valves 3 or 4, ±level to included. Narrow-leaved. Ironbark. Fig. 105C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus cullenii,NA,NA,tree,NA,7,100,4,2,18000,15,130,5,4,18000,11,115,4.5,3,"Tree to 18 m. Bark rough throughout, grey, brown-grey or brown-red, very deeply and widely furrowed. Juvenile leaves not seen. Adult leaves narrowly lanceolate, acuminate; lamina 10-13 cm long, 0.7-1.5 cm wide, green; lateral veins faint, at 40°–55°; intramarginal vein up to 1 mm from margin; petiole 9-15 mm long. Conflorescence terminal, paniculate; umbels 7-flowered; peduncle terete, 10-18 mm long; pedicels 4-6 mm long. Buds ovoid to subglobular; operculum hemispherical, shortly rostrate, 2-4 mm long, 3-5 mm wide; hypanthium hemispherical, 2-3 mm long, 3-4 mm wide. Fruits hemispherical or subglobular, 2-4 mm long, 4-5 mm wide; disc broad, ascending; valves 3 or 4, exserted. Cullen’s Ironbark. Fig. 105E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus whitei,NA,NA,tree,NA,10,75,4,5,17000,20,130,5,8,17000,15,102.5,4.5,6.5,"Tree to 17 m. Bark rough throughout, brown-grey to dark grey, deeply fissured. Juvenile leaves broadly lanceolate to ovate, light green, slightly discolorous. Adult leaves narrowly lanceolate, sometimes falcate, acute; lamina 7.5-13 cm long, 1-2 cm wide, glaucous; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole 6-10 mm long. Conflorescence axillary and terminal panicles, and some axillary umbels; umbels 7-flowered; peduncle terete, 10-18 mm long; pedicels 2-5 mm long. Buds fusiform, sometimes glaucous; operculum conical, 2-4 mm long, approx 3 mm wide; hypanthium obconical, 3-4 mm long, approx 3 mm wide. Fruits ovoid, sometimes glaucous, 5-8 mm long, 4-5 mm wide; disc narrow, steeply descending; valves 4 or 5, included. White’s Ironbark. Fig. 105G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus staigeriana,NA,NA,tree,NA,12,40,4,5,21000,20,100,5,6,21000,16,70,4.5,5.5,"Tree to 21 m. Bark rough throughout, dark grey to black, deeply fissured. Juvenile leaves ovate to elliptic, green, concolorous. Adult leaves lanceolate, to elliptic, obtuse, apiculate; lamina 4-10 cm long, 1.2-2 cm wide, green; lateral veins faint, at 40°–45°; intramarginal vein up to 1 mm from margin; petiole 8-14 mm long. Conflorescence axillary and terminal, paniculate; umbels 7-11-flowered; peduncle terete, 8-13 mm long; pedicels 3-7 mm long. Buds fusiform; operculum conical, 2-3 mm long, 3-4 mm wide; hypanthium obconical, 3-4 mm long and wide. Fruits ovoid to pyriform, 5-6 mm long, 4-5 mm wide; disc narrow, descending; valves 3 or 4, ±level. Lemon-scented. Ironbark. Fig. 105 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus jensenii,NA,NA,tree,NA,15,50,4,3,12000,38,100,5,5,12000,26.5,75,4.5,4,"Tree to 12 m. Bark rough throughout, grey to black, coarsely furrowed. Juvenile leaves broadly lanceolate to ovate, green, concolorous. Adult leaves lanceolate to broadly lanceolate, apiculate; lamina 5-10 cm long, 1.5-3.8 cm wide, grey-green; lateral veins faint, at 30°–45°; intramarginal vein almost confluent with or up to 1 mm from margin; petiole 5-10 mm long. Conflorescence terminal, paniculate, and axillary umbels; umbels 7-flowered; peduncle terete to slightly flattened, 4-7 mm long; pedicels 2-4 mm long. Buds ovoid to ovoid-conical, often glaucous; operculum hemispherical to conical, approx 2 mm long, 2-4 mm wide; hypanthium ovoid, 3-4 mm long, 2-4 mm wide. Fruits hemispherical, ovoid or subglobular, often glaucous, 3-5 mm long, 4-5 mm wide; disc narrow, descending; valves 3 or 4, just included to just exserted. Wandi. Ironbark. Fig. 105K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus quadricostata,NA,NA,tree,NA,15,110,8,10,6000,22,150,10,14,6000,18.5,130,9,12,"Tree to 6 m. Bark rough throughout, grey-black, furrowed. Juvenile leaves ovate, dull, grey-green, concolorous. Adult leaves lanceolate, acuminate; lamina 11-15 cm long, 1.5-2.2 cm wide, dull, green; lateral veins just visible, at 30°–40°; intramarginal vein 1-2 mm from margin; petiole 13-27 mm long. Conflorescence terminal, paniculate, with some axillary umbels; umbels 7-flowered; peduncle slightly flattened, 12-20 mm long; pedicels 5-6 mm long. Buds clavate; operculum pyramidal, 4-6 mm long, 5-6 mm wide; hypanthium quadrangular, 6-7 mm long, 5-6 mm wide. Fruits ovoid, quadrangular, 10-14 mm long, 8-10 mm wide; disc narrow, descending; valves 4, level or slightly exserted. Fig. 106A–B. Figure 105. Eucalyptus buds and fruits, all ×1. A–B, E. drepanophylla (A, I.Brooker 5293, FRI; B, D.Kleinig 252, FRI). C–D, E. crebra (C, cult., Waite. Arboretum, S.A., N.Hall & D.Symon, FRI; D, G.Smith 15, FRI). E–F, E. cullenii (E, I.Brooker 3368, FRI; F, I.Brooker 4071, FRI). G–H, E. whitei (G, I.Brooker 3353, FRI; H, I.Brooker 4142, FRI). I–J, E. staigeriana (I, B.Hyland 7929, FRI; J, I.Brooker 4015, FRI). K–L, E. jensenii (K, C.Gardner 9954, FRI; L, I.Brooker 3130, FRI). A, B, E, F drawn by M.Risby. Others drawn by M.May","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus melanophloia,NA,NA,tree,NA,20,50,NA,3,25000,30,90,NA,8,25000,25,70,NA,5.5,"Tree to 25 m. Bark rough throughout, dark grey to black, deeply furrowed. Juvenile leaves opposite, ovate to orbicular, often cordate, glaucous, concolorous. Adult leaves opposite, ovate to broadly lanceolate, apiculate; lamina 5-9 cm long, 2-3 cm wide, glaucous; lateral veins faint, at 40°–55°; intramarginal vein up to 2 mm from margin; petiole very short or absent. Conflorescence terminal, sometimes axillary, paniculate; umbels 7-flowered; peduncle terete or quadrangular, 4-16 mm long; pedicels 1-7 mm long. Buds fusiform, glaucous; operculum conical, 3-4 mm long, 3-5 mm wide; hypanthium obconical, 4-6 mm long, 3-5 mm wide. Fruits hemispherical, ovoid or urceolate, 3-8 mm long and wide, glaucous; disc broad, steeply descending; valves 3 or 4, level or slightly exserted. Silver-leaved. Ironbark. Fig. 106C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus shirleyi,NA,NA,tree,NA,NA,NA,6,7,15000,NA,NA,10,12,15000,NA,NA,8,9.5,"Tree to 15 m. Bark rough throughout, dark grey to black, deeply fissured. Juvenile leaves opposite, ovate to orbicular, cordate to amplexicaul, glaucous, concolorous or slightly discolorous. Foliage on adult trees usually intermediate leaves, opposite, orbicular to broadly lanceolate, cordate or amplexicaul; lamina 5-9 cm long, 2.5-8 cm wide, glaucous; lateral veins just visible, at 45°–65°; intramarginal vein up to 3 mm from margin; petiole absent. Conflorescence terminal and axillary, paniculate; umbels 7-flowered; peduncles flattened, 10-20 mm long; pedicels 4-8 mm long. Buds ovoid to fusiform, glaucous; operculum conical, 3-4 mm long, 5-6 mm wide; hypanthium obconical, 4-6 mm long, 5-6 mm wide. Fruits ovoid to subcylindrical, usually ribbed, 7-12 mm long, 6-10 mm wide, glaucous; disc broad, steeply descending; valves 4, included. Shirley’s Silver-leaved. Ironbark. Fig. 106E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
